,name,args
0,adc_channel_setup,"[('const struct device *', 'dev'), ('const struct adc_channel_cfg *', 'channel_cfg')]"
1,adc_read,"[('const struct device *', 'dev'), ('const struct adc_sequence *', 'sequence')]"
2,adc_read_async,"[('const struct device *', 'dev'), ('const struct adc_sequence *', 'sequence'), ('struct k_poll_signal *', 'async')]"
3,atomic_add,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
4,atomic_and,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
5,atomic_cas,"[('atomic_t *', 'target'), ('atomic_val_t', 'old_value'), ('atomic_val_t', 'new_value')]"
6,atomic_nand,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
7,atomic_or,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
8,atomic_ptr_cas,"[('atomic_ptr_t *', 'target'), ('atomic_ptr_val_t', 'old_value'), ('atomic_ptr_val_t', 'new_value')]"
9,atomic_ptr_set,"[('atomic_ptr_t *', 'target'), ('atomic_ptr_val_t', 'value')]"
10,atomic_set,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
11,atomic_sub,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
12,atomic_xor,"[('atomic_t *', 'target'), ('atomic_val_t', 'value')]"
13,auxdisplay_backlight_get,"[('const struct device *', 'dev'), ('uint8_t *', 'backlight')]"
14,auxdisplay_backlight_set,"[('const struct device *', 'dev'), ('uint8_t', 'backlight')]"
15,auxdisplay_brightness_get,"[('const struct device *', 'dev'), ('uint8_t *', 'brightness')]"
16,auxdisplay_brightness_set,"[('const struct device *', 'dev'), ('uint8_t', 'brightness')]"
17,auxdisplay_capabilities_get,"[('const struct device *', 'dev'), ('struct auxdisplay_capabilities *', 'capabilities')]"
18,auxdisplay_clear,"[('const struct device *', 'dev')]"
19,auxdisplay_cursor_position_get,"[('const struct device *', 'dev'), ('int16_t *', 'x'), ('int16_t *', 'y')]"
20,auxdisplay_cursor_position_set,"[('const struct device *', 'dev'), ('enum auxdisplay_position', 'type'), ('int16_t', 'x'), ('int16_t', 'y')]"
21,auxdisplay_cursor_set_enabled,"[('const struct device *', 'dev'), ('bool', 'enabled')]"
22,auxdisplay_cursor_shift_set,"[('const struct device *', 'dev'), ('uint8_t', 'direction'), ('bool', 'display_shift')]"
23,auxdisplay_custom_character_set,"[('const struct device *', 'dev'), ('struct auxdisplay_character *', 'character')]"
24,auxdisplay_custom_command,"[('const struct device *', 'dev'), ('struct auxdisplay_custom_data *', 'data')]"
25,auxdisplay_display_off,"[('const struct device *', 'dev')]"
26,auxdisplay_display_on,"[('const struct device *', 'dev')]"
27,auxdisplay_display_position_get,"[('const struct device *', 'dev'), ('int16_t *', 'x'), ('int16_t *', 'y')]"
28,auxdisplay_display_position_set,"[('const struct device *', 'dev'), ('enum auxdisplay_position', 'type'), ('int16_t', 'x'), ('int16_t', 'y')]"
29,auxdisplay_is_busy,"[('const struct device *', 'dev')]"
30,auxdisplay_position_blinking_set_enabled,"[('const struct device *', 'dev'), ('bool', 'enabled')]"
31,auxdisplay_write,"[('const struct device *', 'dev'), ('const uint8_t *', 'data'), ('uint16_t', 'len')]"
32,bbram_check_invalid,"[('const struct device *', 'dev')]"
33,bbram_check_power,"[('const struct device *', 'dev')]"
34,bbram_check_standby_power,"[('const struct device *', 'dev')]"
35,bbram_get_size,"[('const struct device *', 'dev'), ('size_t *', 'size')]"
36,bbram_read,"[('const struct device *', 'dev'), ('size_t', 'offset'), ('size_t', 'size'), ('uint8_t *', 'data')]"
37,bbram_write,"[('const struct device *', 'dev'), ('size_t', 'offset'), ('size_t', 'size'), ('const uint8_t *', 'data')]"
38,bc12_set_result_cb,"[('const struct device *', 'dev'), ('bc12_callback_t', 'cb'), ('void *', 'user_data')]"
39,bc12_set_role,"[('const struct device *', 'dev'), ('enum bc12_role', 'role')]"
40,can_add_rx_filter_msgq,"[('const struct device *', 'dev'), ('struct k_msgq *', 'msgq'), ('const struct can_filter *', 'filter')]"
41,can_calc_timing,"[('const struct device *', 'dev'), ('struct can_timing *', 'res'), ('uint32_t', 'bitrate'), ('uint16_t', 'sample_pnt')]"
42,can_calc_timing_data,"[('const struct device *', 'dev'), ('struct can_timing *', 'res'), ('uint32_t', 'bitrate'), ('uint16_t', 'sample_pnt')]"
43,can_get_capabilities,"[('const struct device *', 'dev'), ('can_mode_t *', 'cap')]"
44,can_get_core_clock,"[('const struct device *', 'dev'), ('uint32_t *', 'rate')]"
45,can_get_max_bitrate,"[('const struct device *', 'dev'), ('uint32_t *', 'max_bitrate')]"
46,can_get_max_filters,"[('const struct device *', 'dev'), ('bool', 'ide')]"
47,can_get_mode,"[('const struct device *', 'dev')]"
48,can_get_state,"[('const struct device *', 'dev'), ('enum can_state *', 'state'), ('struct can_bus_err_cnt *', 'err_cnt')]"
49,can_get_timing_data_max,"[('const struct device *', 'dev')]"
50,can_get_timing_data_min,"[('const struct device *', 'dev')]"
51,can_get_timing_max,"[('const struct device *', 'dev')]"
52,can_get_timing_min,"[('const struct device *', 'dev')]"
53,can_get_transceiver,"[('const struct device *', 'dev')]"
54,can_recover,"[('const struct device *', 'dev'), ('k_timeout_t', 'timeout')]"
55,can_remove_rx_filter,"[('const struct device *', 'dev'), ('int', 'filter_id')]"
56,can_send,"[('const struct device *', 'dev'), ('const struct can_frame *', 'frame'), ('k_timeout_t', 'timeout'), ('can_tx_callback_t', 'callback'), ('void *', 'user_data')]"
57,can_set_bitrate,"[('const struct device *', 'dev'), ('uint32_t', 'bitrate')]"
58,can_set_bitrate_data,"[('const struct device *', 'dev'), ('uint32_t', 'bitrate_data')]"
59,can_set_mode,"[('const struct device *', 'dev'), ('can_mode_t', 'mode')]"
60,can_set_timing,"[('const struct device *', 'dev'), ('const struct can_timing *', 'timing')]"
61,can_set_timing_data,"[('const struct device *', 'dev'), ('const struct can_timing *', 'timing_data')]"
62,can_start,"[('const struct device *', 'dev')]"
63,can_stats_get_ack_errors,"[('const struct device *', 'dev')]"
64,can_stats_get_bit0_errors,"[('const struct device *', 'dev')]"
65,can_stats_get_bit1_errors,"[('const struct device *', 'dev')]"
66,can_stats_get_bit_errors,"[('const struct device *', 'dev')]"
67,can_stats_get_crc_errors,"[('const struct device *', 'dev')]"
68,can_stats_get_form_errors,"[('const struct device *', 'dev')]"
69,can_stats_get_rx_overruns,"[('const struct device *', 'dev')]"
70,can_stats_get_stuff_errors,"[('const struct device *', 'dev')]"
71,can_stop,"[('const struct device *', 'dev')]"
72,charger_charge_enable,"[('const struct device *', 'dev'), ('const bool', 'enable')]"
73,charger_get_prop,"[('const struct device *', 'dev'), ('const charger_prop_t', 'prop'), ('union charger_propval *', 'val')]"
74,charger_set_prop,"[('const struct device *', 'dev'), ('const charger_prop_t', 'prop'), ('const union charger_propval *', 'val')]"
75,counter_cancel_channel_alarm,"[('const struct device *', 'dev'), ('uint8_t', 'chan_id')]"
76,counter_get_frequency,"[('const struct device *', 'dev')]"
77,counter_get_guard_period,"[('const struct device *', 'dev'), ('uint32_t', 'flags')]"
78,counter_get_max_top_value,"[('const struct device *', 'dev')]"
79,counter_get_num_of_channels,"[('const struct device *', 'dev')]"
80,counter_get_pending_int,"[('const struct device *', 'dev')]"
81,counter_get_top_value,"[('const struct device *', 'dev')]"
82,counter_get_value,"[('const struct device *', 'dev'), ('uint32_t *', 'ticks')]"
83,counter_get_value_64,"[('const struct device *', 'dev'), ('uint64_t *', 'ticks')]"
84,counter_is_counting_up,"[('const struct device *', 'dev')]"
85,counter_set_channel_alarm,"[('const struct device *', 'dev'), ('uint8_t', 'chan_id'), ('const struct counter_alarm_cfg *', 'alarm_cfg')]"
86,counter_set_guard_period,"[('const struct device *', 'dev'), ('uint32_t', 'ticks'), ('uint32_t', 'flags')]"
87,counter_set_top_value,"[('const struct device *', 'dev'), ('const struct counter_top_cfg *', 'cfg')]"
