Syscall,x86_64,arm,aarch64,x32
ARM_breakpoint,-,983041,-,-
ARM_cacheflush,-,983042,-,-
ARM_set_tls,-,983045,-,-
ARM_usr26,-,983043,-,-
ARM_usr32,-,983044,-,-
_llseek,-,140,-,140
_newselect,-,142,-,142
_sysctl,156,149,-,149
accept,43,285,202,-
accept4,288,366,242,364
access,21,33,-,33
acct,163,51,89,51
add_key,248,309,217,286
adjtimex,159,124,171,124
afs_syscall,183,-,-,137
alarm,37,-,-,27
arch_prctl,158,-,-,384
arm_fadvise64_64,-,270,-,-
arm_sync_file_range,-,341,-,-
bdflush,-,134,-,134
bind,49,282,200,361
bpf,321,386,280,357
break,-,-,-,17
brk,12,45,214,45
capget,125,184,90,184
capset,126,185,91,185
chdir,80,12,49,12
chmod,90,15,-,15
chown,92,182,-,182
chown32,-,212,-,212
chroot,161,61,51,61
clock_adjtime,305,372,266,343
clock_getres,229,264,114,266
clock_gettime,228,263,113,265
clock_nanosleep,230,265,115,267
clock_settime,227,262,112,264
clone,56,120,220,120
close,3,6,57,6
connect,42,283,203,362
copy_file_range,326,391,285,377
creat,85,8,-,8
create_module,174,-,-,127
delete_module,176,129,106,129
dup,32,41,23,41
dup2,33,63,-,63
dup3,292,358,24,330
epoll_create,213,250,-,254
epoll_create1,291,357,20,329
epoll_ctl,233,251,21,255
epoll_ctl_old,214,-,-,-
epoll_pwait,281,346,22,319
epoll_wait,232,252,-,256
epoll_wait_old,215,-,-,-
eventfd,284,351,-,323
eventfd2,290,356,19,328
execve,59,11,221,11
execveat,322,387,281,358
exit,60,1,93,1
exit_group,231,248,94,252
faccessat,269,334,48,307
fadvise64,221,-,223,250
fadvise64_64,-,-,-,272
fallocate,285,352,47,324
fanotify_init,300,367,262,338
fanotify_mark,301,368,263,339
fchdir,81,133,50,133
fchmod,91,94,52,94
fchmodat,268,333,53,306
fchown,93,95,55,95
fchown32,-,207,-,207
fchownat,260,325,54,298
fcntl,72,55,25,55
fcntl64,-,221,-,221
fdatasync,75,148,83,148
fgetxattr,193,231,10,231
finit_module,313,379,273,350
flistxattr,196,234,13,234
flock,73,143,32,143
fork,57,2,-,2
fremovexattr,199,237,16,237
fsetxattr,190,228,7,228
fstat,5,108,80,108
fstat64,-,197,-,197
fstatat64,-,327,-,300
fstatfs,138,100,44,100
fstatfs64,-,267,-,269
fsync,74,118,82,118
ftime,-,-,-,35
ftruncate,77,93,46,93
ftruncate64,-,194,-,194
futex,202,240,98,240
futimesat,261,326,-,299
get_kernel_syms,177,-,-,130
get_mempolicy,239,320,236,275
get_robust_list,274,339,100,312
get_thread_area,211,-,-,244
getcpu,309,345,168,318
getcwd,79,183,17,183
getdents,78,141,-,141
getdents64,217,217,61,220
getegid,108,50,177,50
getegid32,-,202,-,202
geteuid,107,49,175,49
geteuid32,-,201,-,201
getgid,104,47,176,47
getgid32,-,200,-,200
getgroups,115,80,158,80
getgroups32,-,205,-,205
getitimer,36,105,102,105
getpeername,52,287,205,368
getpgid,121,132,155,132
getpgrp,111,65,-,65
getpid,39,20,172,20
getpmsg,181,-,-,188
getppid,110,64,173,64
getpriority,140,96,141,96
getrandom,318,384,278,355
getresgid,120,171,150,171
getresgid32,-,211,-,211
getresuid,118,165,148,165
getresuid32,-,209,-,209
getrlimit,97,-,163,76
getrusage,98,77,165,77
getsid,124,147,156,147
getsockname,51,286,204,367
getsockopt,55,295,209,365
gettid,186,224,178,224
gettimeofday,96,78,169,78
getuid,102,24,174,24
getuid32,-,199,-,199
getxattr,191,229,8,229
gtty,-,-,-,32
idle,-,-,-,112
init_module,175,128,105,128
inotify_add_watch,254,317,27,292
inotify_init,253,316,-,291
inotify_init1,294,360,26,332
inotify_rm_watch,255,318,28,293
io_cancel,210,247,3,249
io_destroy,207,244,1,246
io_getevents,208,245,4,247
io_setup,206,243,0,245
io_submit,209,246,2,248
ioctl,16,54,29,54
ioperm,173,-,-,101
iopl,172,-,-,110
ioprio_get,252,315,31,290
ioprio_set,251,314,30,289
ipc,-,-,-,117
kcmp,312,378,272,349
kexec_file_load,320,-,-,-
kexec_load,246,347,104,283
keyctl,250,311,219,288
kill,62,37,129,37
lchown,94,16,-,16
lchown32,-,198,-,198
lgetxattr,192,230,9,230
link,86,9,-,9
linkat,265,330,37,303
listen,50,284,201,363
listxattr,194,232,11,232
llistxattr,195,233,12,233
lock,-,-,-,53
lookup_dcookie,212,249,18,253
lremovexattr,198,236,15,236
lseek,8,19,62,19
lsetxattr,189,227,6,227
lstat,6,107,-,107
lstat64,-,196,-,196
madvise,28,220,233,219
mbind,237,319,235,274
membarrier,324,389,283,375
memfd_create,319,385,279,356
migrate_pages,256,-,238,294
mincore,27,219,232,218
mkdir,83,39,-,39
mkdirat,258,323,34,296
mknod,133,14,-,14
mknodat,259,324,33,297
mlock,149,150,228,150
mlock2,325,390,284,376
mlockall,151,152,230,152
mmap,9,-,222,90
mmap2,-,192,-,192
modify_ldt,154,-,-,123
mount,165,21,40,21
move_pages,279,344,239,317
mprotect,10,125,226,125
mpx,-,-,-,56
mq_getsetattr,245,279,185,282
mq_notify,244,278,184,281
mq_open,240,274,180,277
mq_timedreceive,243,277,183,280
mq_timedsend,242,276,182,279
mq_unlink,241,275,181,278
mremap,25,163,216,163
msgctl,71,304,187,-
msgget,68,303,186,-
msgrcv,70,302,188,-
msgsnd,69,301,189,-
msync,26,144,227,144
munlock,150,151,229,151
munlockall,152,153,231,153
munmap,11,91,215,91
name_to_handle_at,303,370,264,341
nanosleep,35,162,101,162
newfstatat,262,-,79,-
nfsservctl,180,169,42,169
nice,-,34,-,34
oldfstat,-,-,-,28
oldlstat,-,-,-,84
oldolduname,-,-,-,59
oldstat,-,-,-,18
olduname,-,-,-,109
open,2,5,-,5
open_by_handle_at,304,371,265,342
openat,257,322,56,295
pause,34,29,-,29
pciconfig_iobase,-,271,-,-
pciconfig_read,-,272,-,-
pciconfig_write,-,273,-,-
perf_event_open,298,364,241,336
personality,135,136,92,136
pipe,22,42,-,42
pipe2,293,359,59,331
pivot_root,155,218,41,217
pkey_alloc,330,395,289,381
pkey_free,331,396,290,382
pkey_mprotect,329,394,288,380
poll,7,168,-,168
ppoll,271,336,73,309
prctl,157,172,167,172
pread64,17,180,67,180
preadv,295,361,69,333
preadv2,327,392,286,378
prlimit64,302,369,261,340
process_vm_readv,310,376,270,347
process_vm_writev,311,377,271,348
prof,-,-,-,44
profil,-,-,-,98
pselect6,270,335,72,308
ptrace,101,26,117,26
putpmsg,182,-,-,189
