,,,Args,,,,,,,,Architecture NRs,
NR,Syscall,# Args,a1,a2,a3,a4,a5,a6,Aliases,Unused Aliases,aarch64_NR,riscv64_NR
0,read,3,int,void*,size_t,,,,,,63,63
1,write,3,int,void*,size_t,,,,,,64,64
2,open,3,char*,int,mode_t,,,,,,-1,-1
3,close,1,int,,,,,,,,57,57
4,stat,2,char*,struct stat*,,,,,,,-1,-1
5,fstat,2,int,struct stat*,,,,,,,80,80
6,lstat,2,char*,struct stat*,,,,,,,-1,-1
7,poll,3,struct pollfd*,nfds_t,int,,,,,,-1,-1
8,lseek,3,int,off_t,int,,,,,,62,62
9,mmap,6,void*,size_t,int,int,int,off_t,,mmap2,222,222
10,mprotect,3,void*,size_t,int,,,,,,226,226
11,munmap,2,void*,size_t,,,,,,,215,215
12,brk,1,void*,,,,,,,,214,214
13,rt_sigaction,4,int,struct sigaction*,struct sigaction*,size_t,,,,,134,134
14,rt_sigprocmask,4,int,sigset_t*,sigset_t*,size_t,,,,,135,135
15,rt_sigreturn,1,long,,,,,,,,139,139
16,ioctl,3,int,int,char*,,,,,,29,29
17,pread64,4,int,char*,size_t,off_t,,,,,67,67
18,pwrite64,4,int,char*,size_t,off_t,,,,,68,68
19,readv,3,int,struct iovec*,int,,,,,,65,65
20,writev,3,int,struct iovec*,int,,,,,,66,66
21,access,2,char*,int,,,,,,,-1,-1
22,pipe,1,int*,,,,,,,,-1,-1
23,select,5,int,fd_set*,fd_set*,fd_set*,struct timeval*,,,,-1,-1
24,sched_yield,0,,,,,,,,,124,124
25,mremap,5,void*,size_t,size_t,int,void*,,,,216,216
26,msync,3,void*,size_t,int,,,,,,227,227
27,mincore,,,,,,,,,,232,232
28,madvise,3,void*,size_t,int,,,,,,233,233
29,shmget,,,,,,,,,,194,194
30,shmat,,,,,,,,,,196,196
31,shmctl,,,,,,,,,,195,195
32,dup,1,int,,,,,,,,23,23
33,dup2,2,int,int,,,,,,,-1,-1
34,pause,,,,,,,,,,-1,-1
35,nanosleep,2,struct timespec*,struct timespec*,,,,,,,101,101
36,getitimer,,,,,,,,,,102,102
37,alarm,1,int,,,,,,,,-1,-1
38,setitimer,3,int,struct itimerval*,struct itimerval*,,,,,,103,103
39,getpid,0,,,,,,,,,172,172
40,sendfile,,,,,,,,,,71,71
41,socket,3,int,int,int,,,,,,198,198
42,connect,3,int,struct sockaddr*,socklen_t,,,,,,203,203
43,accept,3,int,struct sockaddr*,socklen_t*,,,,,,202,202
44,sendto,6,int,void*,size_t,int,struct sockaddr*,socklen_t,,,206,206
45,recvfrom,6,int,void*,size_t,int,struct sockaddr*,socklen_t*,,,207,207
46,sendmsg,3,int,struct msghdr*,int,,,,,,211,211
47,recvmsg,3,int,struct msghdr*,int,,,,,,212,212
48,shutdown,2,int,int,,,,,,,210,210
49,bind,3,int,struct sockaddr*,socklen_t,,,,,,200,200
50,listen,2,int,int,,,,,,,201,201
51,getsockname,3,int,struct sockaddr*,socklen_t*,,,,,,204,204
52,getpeername,3,int,struct sockaddr*,socklen_t*,,,,,,205,205
53,socketpair,,,,,,,,,,199,199
54,setsockopt,5,int,int,int,void*,socklen_t,,,,208,208
55,getsockopt,5,int,int,int,void*,socklen_t*,,,,209,209
56,clone,,,,,,,,,,220,220
57,fork,0,,,,,,,,,-1,-1
58,vfork,,,,,,,,,,-1,-1
59,execve,3,char*,char*,char*,,,,,,221,221
60,exit,1,int,,,,,,,,93,93
61,wait4,4,pid_t,int*,int,struct rusage*,,,,,260,260
62,kill,2,pid_t,int,,,,,,,129,129
63,uname,1,struct utsname*,,,,,,,,160,160
64,semget,,,,,,,,,,190,190
65,semop,,,,,,,,,,193,193
66,semctl,,,,,,,,,,191,191
67,shmdt,,,,,,,,,,197,197
68,msgget,,,,,,,,,,186,186
69,msgsnd,,,,,,,,,,189,189
70,msgrcv,,,,,,,,,,188,188
71,msgctl,,,,,,,,,,187,187
72,fcntl,3,int,int,int,,,,,,25,25
73,flock,2,int,int,,,,,,,32,32
74,fsync,1,int,,,,,,,,82,82
75,fdatasync,,,,,,,,,,83,83
76,truncate,,,,,,,,,,45,45
77,ftruncate,2,int,off_t,,,,,,,46,46
78,getdents,3,int,struct dirent*,int,,,,,,-1,-1
79,getcwd,2,char*,size_t,,,,,,,17,17
80,chdir,1,char*,,,,,,,,49,49
81,fchdir,,,,,,,,,,50,50
82,rename,2,char*,char*,,,,,,,-1,-1
83,mkdir,2,char*,mode_t,,,,,,,-1,-1
84,rmdir,1,char*,,,,,,,,-1,-1
85,creat,,,,,,,,,,-1,-1
86,link,2,char*,char*,,,,,,,-1,-1
87,unlink,1,char*,,,,,,,,-1,-1
88,symlink,2,char*,char*,,,,,,,-1,-1
89,readlink,3,char*,char*,size_t,,,,,,-1,-1
90,chmod,2,char*,mode_t,,,,,,,-1,-1
91,fchmod,2,int,mode_t,,,,,,,52,52
92,chown,3,char*,uid_t,gid_t,,,,,,-1,-1
93,fchown,3,int,uid_t,gid_t,,,,,,55,55
94,lchown,,,,,,,,,,-1,-1
95,umask,1,mode_t,,,,,,,,166,166
96,gettimeofday,,,,,,,,,,169,169
97,getrlimit,2,int,struct rlimit*,,,,,,,163,163
98,getrusage,2,int,struct rusage*,,,,,,,165,165
99,sysinfo,1,struct sysinfo*,,,,,,,,179,179
100,times,,,,,,,,,,153,153
101,ptrace,,,,,,,,,,117,117
102,getuid,0,,,,,,,,,174,174
103,syslog,,,,,,,,,,116,116
104,getgid,0,,,,,,,,,176,176
105,setuid,,,,,,,,,,146,146
106,setgid,,,,,,,,,,144,144
107,geteuid,0,,,,,,,,,175,175
108,getegid,0,,,,,,,,,177,177
109,setpgid,2,pid_t,pid_t,,,,,,,154,154
110,getppid,0,,,,,,,,,173,173
111,getpgrp,,,,,,,,,,-1,-1
112,setsid,0,,,,,,,,,157,157
113,setreuid,,,,,,,,,,145,145
114,setregid,,,,,,,,,,143,143
115,getgroups,,,,,,,,,,158,158
116,setgroups,,,,,,,,,,159,159
117,setresuid,,,,,,,,,,147,147
118,getresuid,,,,,,,,,,148,148
119,setresgid,,,,,,,,,,149,149
120,getresgid,,,,,,,,,,150,150
121,getpgid,1,pid_t,,,,,,,,155,155
122,setfsuid,,,,,,,,,,151,151
123,setfsgid,,,,,,,,,,152,152
124,getsid,1,pid_t,,,,,,,,156,156
125,capget,,,,,,,,,,90,90
126,capset,,,,,,,,,,91,91
127,rt_sigpending,,,,,,,,,,136,136
128,rt_sigtimedwait,,,,,,,,,,137,137
129,rt_sigqueueinfo,,,,,,,,,,138,138
130,rt_sigsuspend,2,sigset_t*,size_t,,,,,,,133,133
131,sigaltstack,2,stack_t*,stack_t*,,,,,,,132,132
132,utime,2,char*,struct utimbuf*,,,,,,,-1,-1
133,mknod,,,,,,,,,,-1,-1
134,uselib,,,,,,,,,,-1,-1
135,personality,,,,,,,,,,92,92
136,ustat,,,,,,,,,,-1,-1
137,statfs,2,char*,struct statfs*,,,,,,,43,43
138,fstatfs,2,int,struct statfs*,,,,,,,44,44
139,sysfs,,,,,,,,,,-1,-1
140,getpriority,,,,,,,,,,141,141
141,setpriority,,,,,,,,,,140,140
142,sched_setparam,,,,,,,,,,118,118
143,sched_getparam,,,,,,,,,,121,121
144,sched_setscheduler,,,,,,,,,,119,119
145,sched_getscheduler,,,,,,,,,,120,120
146,sched_get_priority_max,,,,,,,,,,125,125
147,sched_get_priority_min,,,,,,,,,,126,126
148,sched_rr_get_interval,,,,,,,,,,127,127
149,mlock,,,,,,,,,,228,228
150,munlock,,,,,,,,,,229,229
151,mlockall,,,,,,,,,,230,230
152,munlockall,,,,,,,,,,231,231
153,vhangup,,,,,,,,,,58,58
154,modify_ldt,,,,,,,,,,-1,-1
155,pivot_root,,,,,,,,,,41,41
156,_sysctl,,,,,,,,,,-1,-1
157,prctl,,,,,,,,,,167,167
158,arch_prctl,,,,,,,,,,-1,-1
159,adjtimex,,,,,,,,,,171,171
160,setrlimit,2,int,struct rlimit*,,,,,,,164,164
161,chroot,,,,,,,,,,51,51
162,sync,,,,,,,,,,81,81
163,acct,,,,,,,,,,89,89
164,settimeofday,,,,,,,,,,170,170
165,mount,,,,,,,,,,40,40
166,umount2,,,,,,,,,,39,39
167,swapon,,,,,,,,,,224,224
168,swapoff,,,,,,,,,,225,225
169,reboot,,,,,,,,,,142,142
170,sethostname,,,,,,,,,,161,161
171,setdomainname,,,,,,,,,,162,162
172,iopl,,,,,,,,,,-1,-1
173,ioperm,,,,,,,,,,-1,-1
174,create_module,,,,,,,,,,-1,-1
175,init_module,,,,,,,,,,105,105
176,delete_module,,,,,,,,,,106,106
177,get_kernel_syms,,,,,,,,,,-1,-1
178,query_module,,,,,,,,,,-1,-1
179,quotactl,,,,,,,,,,60,60
180,nfsservctl,,,,,,,,,,42,42
181,getpmsg,,,,,,,,,,-1,-1
182,putpmsg,,,,,,,,,,-1,-1
183,afs_syscall,,,,,,,,,,-1,-1
184,tuxcall,,,,,,,,,,-1,-1
185,security,,,,,,,,,,-1,-1
186,gettid,0,,,,,,,,,178,178
187,readahead,,,,,,,,,,213,213
188,setxattr,,,,,,,,,,5,5
189,lsetxattr,,,,,,,,,,6,6
190,fsetxattr,,,,,,,,,,7,7
191,getxattr,,,,,,,,,,8,8
192,lgetxattr,,,,,,,,,,9,9
193,fgetxattr,,,,,,,,,,10,10
194,listxattr,,,,,,,,,,11,11
195,llistxattr,,,,,,,,,,12,12
196,flistxattr,,,,,,,,,,13,13
197,removexattr,,,,,,,,,,14,14
198,lremovexattr,,,,,,,,,,15,15
199,fremovexattr,,,,,,,,,,16,16
200,tkill,,,,,,,,,,130,130
201,time,,,,,,,,,,-1,-1
202,futex,6,int*,int,int,struct timespec*,int*,int,,,98,98
203,sched_setaffinity,,,,,,,,,,122,122
204,sched_getaffinity,,,,,,,,,,123,123
205,set_thread_area,,,,,,,,,,-1,-1
206,io_setup,,,,,,,,,,0,0
207,io_destroy,,,,,,,,,,1,1
208,io_getevents,,,,,,,,,,4,4
209,io_submit,,,,,,,,,,2,2
210,io_cancel,,,,,,,,,,3,3
211,get_thread_area,,,,,,,,,,-1,-1
212,lookup_dcookie,,,,,,,,,,18,18
213,epoll_create,,,,,,,,,,-1,-1
214,epoll_ctl_old,,,,,,,,,,-1,-1
215,epoll_wait_old,,,,,,,,,,-1,-1
216,remap_file_pages,,,,,,,,,,234,234
217,getdents64,3,int,struct dirent*,int,,,,,,61,61
218,set_tid_address,1,int*,,,,,,,,96,96
219,restart_syscall,,,,,,,,,,128,128
220,semtimedop,,,,,,,,,,192,192
221,fadvise,4,int,off_t,off_t,int,,,,fadvise64,223,223
222,timer_create,,,,,,,,,,107,107
223,timer_settime,,,,,,,,,,110,110
224,timer_gettime,,,,,,,,,,108,108
225,timer_getoverrun,,,,,,,,,,109,109
226,timer_delete,,,,,,,,,,111,111
227,clock_settime,,,,,,,,,,112,112
228,clock_gettime,2,clockid_t,struct timespec*,,,,,,,113,113
229,clock_getres,,,,,,,,,,114,114
230,clock_nanosleep,4,clockid_t,int,struct timespec*,struct timespec*,,,,,115,115
231,exit_group,1,int,,,,,,,,94,94
232,epoll_wait,,,,,,,,,,-1,-1
233,epoll_ctl,,,,,,,,,,21,21
234,tgkill,,,,,,,,,,131,131
235,utimes,,,,,,,,,,-1,-1
236,vserver,,,,,,,,,,-1,-1
237,mbind,,,,,,,,,,235,235
238,set_mempolicy,,,,,,,,,,237,237
239,get_mempolicy,,,,,,,,,,236,236
240,mq_open,,,,,,,,,,180,180
241,mq_unlink,,,,,,,,,,181,181
242,mq_timedsend,,,,,,,,,,182,182
243,mq_timedreceive,,,,,,,,,,183,183
244,mq_notify,,,,,,,,,,184,184
245,mq_getsetattr,,,,,,,,,,185,185
246,kexec_load,,,,,,,,,,104,104
247,waitid,,,,,,,,,,95,95
248,add_key,,,,,,,,,,217,217
249,request_key,,,,,,,,,,218,218
250,keyctl,,,,,,,,,,219,219
251,ioprio_set,,,,,,,,,,30,30
252,ioprio_get,,,,,,,,,,31,31
253,inotify_init,,,,,,,,,,-1,-1
254,inotify_add_watch,,,,,,,,,,27,27
255,inotify_rm_watch,,,,,,,,,,28,28
256,migrate_pages,,,,,,,,,,238,238
257,openat,4,int,char*,int,mode_t,,,,,56,56
258,mkdirat,3,int,char*,mode_t,,,,,,34,34
259,mknodat,,,,,,,,,,33,33
260,fchownat,5,int,char*,uid_t,gid_t,int,,,,54,54
261,futimesat,,,,,,,,,,-1,-1
262,newfstatat,4,int,char*,struct stat*,int,,,fstatat,,79,79
263,unlinkat,3,int,char*,int,,,,,,35,35
264,renameat,,,,,,,,,,38,-1
265,linkat,5,int,char*,int,char*,int,,,,37,37
266,symlinkat,3,char*,int,char*,,,,,,36,36
267,readlinkat,4,int,char*,char*,size_t,,,,,78,78
268,fchmodat,4,int,char*,mode_t,int,,,,,53,53
269,faccessat,4,int,char*,int,int,,,,,48,48
270,pselect6,6,int,fd_set*,fd_set*,fd_set*,struct timespec*,void*,,,72,72
271,ppoll,5,struct pollfd*,nfds_t,struct timespec*,sigset_t*,size_t,,,,73,73
272,unshare,,,,,,,,,,97,97
273,set_robust_list,,,,,,,,,,99,99
274,get_robust_list,,,,,,,,,,100,100
275,splice,,,,,,,,,,76,76
276,tee,,,,,,,,,,77,77
277,sync_file_range,,,,,,,,,,84,84
278,vmsplice,,,,,,,,,,75,75
279,move_pages,,,,,,,,,,239,239
280,utimensat,4,int,char*,struct timespec*,int,,,,,88,88
281,epoll_pwait,,,,,,,,,,22,22
282,signalfd,,,,,,,,,,-1,-1
283,timerfd_create,,,,,,,,,,85,85
284,eventfd,1,int,,,,,,,,-1,-1
285,fallocate,,,,,,,,,,47,47
286,timerfd_settime,,,,,,,,,,86,86
287,timerfd_gettime,,,,,,,,,,87,87
288,accept4,,,,,,,,,,242,242
289,signalfd4,,,,,,,,,,74,74
290,eventfd2,2,int,int,,,,,,,19,19
291,epoll_create1,,,,,,,,,,20,20
292,dup3,3,int,int,int,,,,,,24,24
293,pipe2,2,int*,int,,,,,,,59,59
294,inotify_init1,,,,,,,,,,26,26
295,preadv,,,,,,,,,,69,69
296,pwritev,,,,,,,,,,70,70
297,rt_tgsigqueueinfo,,,,,,,,,,240,240
298,perf_event_open,,,,,,,,,,241,241
299,recvmmsg,,,,,,,,,,243,243
300,fanotify_init,,,,,,,,,,262,262
301,fanotify_mark,,,,,,,,,,263,263
302,prlimit64,4,int,int,struct rlimit*,struct rlimit*,,,,,261,261
303,name_to_handle_at,,,,,,,,,,264,264
304,open_by_handle_at,,,,,,,,,,265,265
305,clock_adjtime,,,,,,,,,,266,266
306,syncfs,,,,,,,,,,267,267
307,sendmmsg,,,,,,,,,,269,269
308,setns,,,,,,,,,,268,268
309,getcpu,,,,,,,,,,168,168
310,process_vm_readv,,,,,,,,,,270,270
311,process_vm_writev,,,,,,,,,,271,271
312,kcmp,,,,,,,,,,272,272
313,finit_module,,,,,,,,,,273,273
314,sched_setattr,,,,,,,,,,274,274
315,sched_getattr,,,,,,,,,,275,275
316,renameat2,5,int,char*,int,char*,int,,,,276,276
317,seccomp,,,,,,,,,,277,277
318,getrandom,3,void*,size_t,int,,,,,,278,278
319,memfd_create,,,,,,,,,,279,279
320,kexec_file_load,,,,,,,,,,294,294
321,bpf,,,,,,,,,,280,280
322,execveat,,,,,,,,,,281,281
323,userfaultfd,,,,,,,,,,282,282
324,membarrier,,,,,,,,,,283,283
325,mlock2,,,,,,,,,,284,284
326,copy_file_range,,,,,,,,,,285,285
327,preadv2,,,,,,,,,,286,286
328,pwritev2,,,,,,,,,,287,287
329,pkey_mprotect,,,,,,,,,,288,288
330,pkey_alloc,,,,,,,,,,289,289
331,pkey_free,,,,,,,,,,290,290
332,statx,5,int,char*,int,int,struct statx*,,,,291,291
333,io_pgetevents,,,,,,,,,,292,292
334,rseq,,,,,,,,,,293,293
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
